Calificación util,Calificación divertido,Recomendacion,Horas jugadas,Fecha de Reseña,Reseña
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,0.7 h registradas,Publicada el 27 de julio de 2024,"Una bija, el dark and darker chinesco de bajo presupuesto"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,0.3 h registradas,Publicada el 27 de julio de 2024,boring
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,11.2 h registradas,Publicada el 29 de julio de 2024,"El matchmaking es un verdadero asco. Vas a cruzarte priest o rouge pegando con violetas a cada rato. Mi consejo es jugar en grupo y cuando looteas algo honesto, irte. Al menos hasta que se solucione eso.
Restando eso, buen juego. Divertidisimo"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,1.3 h registradas,Publicada el 28 de julio de 2024,"Como persona que tiene mucho sexo a toda hora, puedo decir que este juego es 100% parecido a tener sexo con una mujer, como yo siempre hago. Obviamente este juego no me puso caliente. no soy gay, yo tengo mucho sexo con mujeres reales como para gastar más de 15 minutos en este juego. Por otro lado me gustaría recomendar este juego a la gente que no tiene sexo (no como yo porque yo tengo mucho sexo con mujeres, mucho) como si ahí hubiese una mujer desnuda y está desnuda. Ella también se ve como una de mis varias novias con la que tuve mucho sexo. He tenido mucho sexo. También soy muy guapo y las mujeres SIEMPRE quieren tener sexo conmigo porque soy muy musculoso y guapo y muy bueno en los videojuegos. Todas mis novias dicen que soy muy bueno en el sexo y jugando videojuegos y siendo guapo. Una de mis enamoradas me pidió tener sexo con ella pero le dije que estaba jugando un juego de sexo y empezó a llorar y se hizo lesbiana y se suicidó porque no tuve sexo con ella. Tengo sexo con mujeres, no con hombres, no soy gay. Soy muy cool y guapo así que las chichas siempre quieren tener sexo conmigo porque soy muy cool y sexy. Mi pene es muy grande. A todas mis novias les gusta mi pene porque es muy grande y soy muy bueno en el sexo y lo soy, tengo mucho sexo. También soy muy guapo y sexy y tengo mucho sexo."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,32.6 h registradas,Publicada el 27 de julio de 2024,"me mato una pantera con wallhack, entretenido 👍"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,29.0 h registradas,Publicada el 27 de julio de 2024,Soy clasista
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,160.7 h registradas,Publicada el 27 de julio de 2024,"Increíble juego, lo máximo, 100% recomendado"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,12.5 h registradas,Publicada el 27 de julio de 2024,ta god
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,207.9 h registradas,Publicada el 27 de julio de 2024,"juegalo, es mejor que el sexo y ya no mas league of legends, ahora dungeonborne"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,115.1 h registradas,Publicada el 26 de julio de 2024,"Excelente juego tanto en gráficos como en jugabilidad, solo falta que añadan el idioma español"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,32.7 h registradas,Publicada el 27 de julio de 2024,"Porfa pongan el jueguito en MacOS pls!
Agreguen español pls!"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,3.9 h registradas,Publicada el 27 de julio de 2024,"se ve bueno y todo pero no es para mi.
- mueres y pierdes todo.
- las muertes pueden ser de pve o pvp
- perdí en todas las partida por un druida."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,5.3 h registradas,Publicada el 27 de julio de 2024,"Es la primera vez que hago una reseña, no tengo gran cantidad de horas de juego, pero no me parece un mal juego, siendo de argentina el pin es razonable (68) aprox, habiendo jugado a su antecesor (D and D), puedo decir que la mecanica es mas facil y la intuicion tambien, que este en ingles le saca un plus, pero no por eso es injugable, los que venimos de otros mmorpg (de los viejos) no hay nada que no podamos desifrar un un nivel muy vajo de ingles, ademas que hay muchas personas que hacen tutoriales en español, asique sin mas decir, denle una oportunidad prueven y saquense ustedes mismo las dudas si es el tipo de juego que les gustaria jugar. PSD los graficos los uso al minimo/medio, siendo que con la maquina que tengo puedo usarlos casi a tope, y asi mismo son buenos."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,51.7 h registradas,Publicada el 27 de julio de 2024,"Fix the druid, it's not fun to play in the same lobby and have him see the character's class at long distance, he's the fastest character, he casts magic, he puts on shields, he puts up his armor, he's K'SANTE from Dungeonborne"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,25.4 h registradas,Publicada el 26 de julio de 2024,god
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,33.9 h registradas,Publicada el 26 de julio de 2024,Es re tosco pero vicio mal
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,28.6 h registradas,Publicada el 26 de julio de 2024,"excelente juego, con buena jugabilidad y graficos"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,4.8 h registradas,Publicada el 25 de julio de 2024,divertidoo no me voooy
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,1.8 h registradas,Publicada el 25 de julio de 2024,"Impresionante juego , me encanto , que trabajo tan bien hecho , comprare el DLC para apoyarlos , vale toda la pena"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,73.7 h registradas,Publicada el 25 de julio de 2024,Ta weno che
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,6.1 h registradas,Publicada el 24 de julio de 2024,60.... 50. Bueno
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,39.1 h registradas,Publicada el 24 de julio de 2024,"⡇⣸⡟⢿⡿⠿⠯⠵⣶⣶⣮⣻⣿⣿⣿⣿⣿⣿⣿⣿⣿⢋⣶⣶⣶⡶⠽⠿⢿⠿⢻⣤⡝⢷
⠇⠏⠁  ⣀⣠⣤⣤⣀⣈⠉⠛⢿⣿⣿⣿⣿⣿⣿⣥⡿⠟⠋⢁⣀⣤⣤⣤⣀⡀⠉⠙⠇⢸
⡆  ⢰⣾⣿⣿⠉  ⠙⠉⠈⢲⣼⣿⣿⣿⣿⣿⣿⣿⣿⣴⠊  ⠙⠁  ⢹⣿⣿⣷    ⢸
⡆⢣⠈⣿⣿⣿⣄  ⠑⠁⢀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⡀⠑⠁  ⣼⣿⣿⡇⢠⠃⢸
⣿⡘⣷⣾⣿⣿⣿⣦⣀⣤⣾⡿⣛⡿⢟⠏⡹⢛⣿⡿⢿⠿⢿⣷⣤⣴⣿⣿⣿⢿⣶⡿⡠⣼
⣿⣧⡿⢋⠝⡩⢋⠝⡩⢋⠔⡩⢊⠔⡡⢊⠔⡡⢊⠔⢁⠔⡡⢊⠔⡩⢛⠝⡠⢊⠜⡡⡟⢿"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,6.4 h registradas,Publicada el 24 de julio de 2024,"Un juego excelente y muy divertido. Lo único malo es que no está en español, eso es lo único malo que tiene. An excellent and very fun game. The only bad thing is that it is not in Spanish, that is the only bad thing about it."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,29.1 h registradas,Publicada el 24 de julio de 2024,"Es todo lo que Dark and Darker no hizo, inclusive si eres stream te recompensa, los objetos son mas faciles de conseguir, es muy sencillo, facil de entender, unas mecanicas de combate muchos mejores, el PVP es mas extendido, el hecho de agregar pasivas a los personajes lo convierte en mas top, y poder cambiar la apariencia de mi personaje lo hace unico, ademas de crear mas de un personaje sin necesidad de pagar, las cosas que son de pago, simplemente son esteticos, y espero que continue asi, ha demostrado ser un juego que es bastante amplio y que aun en su fase de desarrollo es muy completo, sin duda alguna es un excelente juego 20/10"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,59.1 h registradas,Publicada el 24 de julio de 2024,🫂🫂🫂🫂🫂
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,73.4 h registradas,Publicada el 24 de julio de 2024,"version mejorada del dark and darker, muy piola"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,166.7 h registradas,Publicada el 23 de julio de 2024,ta weno si
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,25.8 h registradas,Publicada el 24 de julio de 2024,"Esto es DarkAndDarker pero mejor, es inevitable la comparacion con el otro juego de dungeons pero siendo honestos este juego lo supera con creces desde el punto de que las actualizaciones son mas constantes, los mapas se sienten mas detallados, la interfaz y la jugabilidad en general es mucho mas amigable con los usuarios nuevos entre otras cosas
Creo que uno de los puntos principales de decidir cual de los dos jugar es que Dungeonborne aparte de ser completamente gratis con la capacidad de poder crear cuantos personajes quieras y de las clases que quieras es que los desarrolladores de dungeonborne se notan mucho mas atentos a la comunidad, se nota mas cariño al juego :))"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,12.8 h registradas,Publicada el 23 de julio de 2024,Si
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,57.6 h registradas,Publicada el 23 de julio de 2024,ta weno
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,154.3 h registradas,Publicada el 23 de julio de 2024,Devuelvan el servidor de sur america. Pasamos de tener 40ms a 190-220ms. Es injugable ahora.
Nadie ha calificado esta reseña como útil todavía,1 persona encontró divertida esta reseña,Recomendado,62.2 h registradas,Publicada el 23 de julio de 2024,"Lo dejaron morir, clásico de empresa mediocre."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,16.7 h registradas,Publicada el 23 de julio de 2024,Muy buen juego. Mejor que la premisa que copiaron. Y sobre todo es f2p
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,36.3 h registradas,Publicada el 24 de julio de 2024,me encanta este juego creo que es mi juego favorito y tengo una buena pc pero se freezea cuando estoy jugando despues de un rato en la partida es el unico juego que me hace eso y la verdad es injugable asi cerrar y volver a abrir el juego todo el rato no es posible disfrutarlo asi
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,11.1 h registradas,Publicada el 22 de julio de 2024,"Muy bueno, solo falta que lo pongan en español y 10/10"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,2.8 h registradas,Publicada el 22 de julio de 2024,darkandarken
A 1 persona le pareció útil esta reseña,0,Recomendado,39.0 h registradas,Publicada el 22 de julio de 2024,bastante bueno el sistema de looteo y modos de juego. promete bastante a futuro
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,62.4 h registradas,Publicada el 22 de julio de 2024,"NUEVA RESEÑA: Eliminaron el servidor de latinoamerica y empeoraron el pin muchisimo; el por que? Pues segun ellos no les sale rentable por que en Latam no gastamos suficiente dinero esto es increible un juego que taanto me gustaba
...No tiene sentido lo bueno que es este juego, es increible, ligeramente desbalanceado GRACIAS DESARROLLADORES POR PONER ESTE JUEGO F2P, no le hubiera dado la oportunidad si hubiera salido de pago ya que ya me gaste los 25$ del DaD pero es que este juego es infinitamente superior sin lugar a dudas GRACIAS"
A 1 persona le pareció útil esta reseña,0,Recomendado,9.3 h registradas,Publicada el 22 de julio de 2024,BOMBOCLAT
A 1 persona le pareció útil esta reseña,0,Recomendado,44.3 h registradas,Publicada el 22 de julio de 2024,"Juegazo, solo falta que esté en español y de locos"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,180.1 h registradas,Publicada el 21 de julio de 2024,exelente juego
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,231.6 h registradas,Publicada el 21 de julio de 2024,Mas muerto que mi ex
A 1 persona le pareció útil esta reseña,0,Recomendado,24.5 h registradas,Publicada el 21 de julio de 2024,Put the game in spanish pls and optimize the game
A 1 persona le pareció útil esta reseña,0,No recomendado,4.2 h registradas,Publicada el 21 de julio de 2024,"Este juego se ve prometedor, tengo rato buscando un juego asi, lo malo, es que este juego tiene pvp forzado, y tienes 15 minutos por calabozo, esto es como un death match, si odias el pvp, este juego no es para ti."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,8.1 h registradas,Publicada el 21 de julio de 2024,Esta bueno...pero no creo que lo juegue de nuevo.
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,10.9 h registradas,Publicada el 20 de julio de 2024,esta god
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,1.2 h registradas,Publicada el 19 de julio de 2024,esta maomeno noma q queri q te diga
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,7.5 h registradas,Publicada el 19 de julio de 2024,"Comparado a Dark and Darker este es mucho mas dinamico, divertido, y a la vez accesible God"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,107.5 h registradas,Publicada el 19 de julio de 2024,"Sineta una genial base apra algo mas grande , necesita sus mejroas pero teine bastatne potencial !"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,36.2 h registradas,Publicada el 19 de julio de 2024,Ta muy weno
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,28.6 h registradas,Publicada el 21 de julio de 2024,"El juego es increible, el combate se siente fluido. El pvp es alucinante, esta super balanceado. La comunidad me parece muy buena, pase toda lo noche jugando con extraños, a veces perdiamos o ganabamos pero nadie se quejaba. Para mi ya es el mejor en este tipo de juegos aunque este en early acces y falte o caarezca de algunas cosas.
Dale una oportunidad el juego lo merece"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,4.4 h registradas,Publicada el 21 de julio de 2024,"Positivo:
- Lo encuentro mas fluido que el Dark and Darker
- Las clases son gratuitas.
- Los enemigos te atacan en grupo y aún así son llevaderos.
- Si no encuentras portales para salir te Spamean de la nada en la cara.
Negativo:
- Le falta contenido (Es entendible)
- Si sos mele y te atacan del aire imposible pegarles a los p*tos murcielagos.
- En el PvP los magos te alejan y te metrallatean el cul* a hechizos
Lo recomiendo, mas aún con amigos."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,17.9 h registradas,Publicada el 20 de julio de 2024,"Hasta ahora parece muy buen juego, una alternativa a dark and darker , hasta que rebajen el precio de locos por la versión completa.
Jugue unas cuantas partidas en solitario y algunos con amigos, lo único que diría que el juego deja que desear es una mayor cantidad de habilidades para las clases, como lo hay en dark and daker, fuera de eso, me parece muy buen juego, aunque desearas no spawnear al lado de los hombres lobos o el boss de turno a nivel bajo, por que te van a sacar el relleno."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,72.4 h registradas,Publicada el 19 de julio de 2024,"⡴⠑⡄⠀⠀⠀⠀⠀⠀⠀ ⣀⣀⣤⣤⣤⣀⡀
⠸⡇⠀⠿⡀⠀⠀⠀⣀⡴⢿⣿⣿⣿⣿⣿⣿⣿⣷⣦⡀
⠀⠀⠀⠀⠑⢄⣠⠾⠁⣀⣄⡈⠙⣿⣿⣿⣿⣿⣿⣿⣿⣆ Esta muy bueno 100% recomendado
⠀⠀⠀⠀⢀⡀⠁⠀⠀⠈⠙⠛⠂⠈⣿⣿⣿⣿⣿⠿⡿⢿⣆
⠀⠀⠀⢀⡾⣁⣀⠀⠴⠂⠙⣗⡀⠀⢻⣿⣿⠭⢤⣴⣦⣤⣹⠀⠀⠀⢀⢴⣶⣆
⠀⠀⢀⣾⣿⣿⣿⣷⣮⣽⣾⣿⣥⣴⣿⣿⡿⢂⠔⢚⡿⢿⣿⣦⣴⣾⠸⣼⡿
⠀⢀⡞⠁⠙⠻⠿⠟⠉⠀⠛⢹⣿⣿⣿⣿⣿⣌⢤⣼⣿⣾⣿⡟⠉
⠀⣾⣷⣶⠇⠀⠀⣤⣄⣀⡀⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇
⠀⠉⠈⠉⠀⠀⢦⡈⢻⣿⣿⣿⣶⣶⣶⣶⣤⣽⡹⣿⣿⣿⣿⡇
⠀⠀⠀⠀⠀⠀⠀⠉⠲⣽⡻⢿⣿⣿⣿⣿⣿⣿⣷⣜⣿⣿⣿⡇
⠀⠀ ⠀⠀⠀⠀⠀⢸⣿⣿⣷⣶⣮⣭⣽⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⣀⣀⣈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,0.7 h registradas,Publicada el 19 de julio de 2024,"me gusta, seria perfecto que habilitaran vista en 3ra persona mixta, es divertido cambiar entre primera y tercera persona"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,70.3 h registradas,Publicada el 19 de julio de 2024,Mejor que Dark and Darker.
Nadie ha calificado esta reseña como útil todavía,1 persona encontró divertida esta reseña,Recomendado,54.0 h registradas,Publicada el 18 de julio de 2024,POLIMARDO BUENARDOPOLIS DEEEEEEEEEEEEEEEEEEEEEEEEAAAAAAA
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,168.2 h registradas,Publicada el 19 de julio de 2024,"Era Buem Juego, pero por malas decisiones de balanceo y el Matchmaking Horrible que no vale la pena al menos hasta ahora, toca esperar la Season 1 y ver si ocurre algun milagro"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,66.5 h registradas,Publicada el 19 de julio de 2024,"Completamente recomendado, muchísimo mejor que el Dark and Darket, completamente free2play y aparte con roudmap se vienen grandes cosas, lo de siempre los cosméticos son de compra y esta joya, algunas cosas las puedes conseguir en modos de juegos que aun no salen, pero se mencionan en descripciones. Caele que esta bueno y gratis. GG a todos. Jugué toda la beta y lo seguiré jugando <3"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,1.3 h registradas,Publicada el 18 de julio de 2024,"===[]===
☐ Niños
☑ Para todos
☐ Jugadores Casuales
☐ Gamers
===[]===
☐ Graficos de pong en 2019
☐ Muy malos
☐ Malos
☐ Pasables
☐ Buenos
☑ Hermosos
☐ Obra de arte
===[]===
☐ Vale su precio
☑ Espera a las ofertas
☐ Intermedio
☐ Reembolsa si puedes.
☐ No lo compres...
===[]===
☐ Pentium 3 :v
☐ Basicos
☐ Medios
☑ PC potente
☐ Master race
☐ La NASA tiene problemas para correrlo
===[]===
☐ Solo necesitas dos manos
☐ Facil
☑ Facil de aprender, dificil llegar a ser bueno
☐ Dificil
☐ Dark Souls
===[]===
☐ Muy corto ( 0 - 2 Horas)
☐ Corto ( 2 - 8 Horas)
☐ Mediana duracion ( 8 - 12 horas)
☐ Largo ( 12+ hours)
☑ Infinito
===[] ===
☑ Se la pasaron por los huevos
☐ Es mejor que Twilight
☐ Intermedia
☐ Buena
☐ Fantastica
===[]===
☐ El juego en si es un bug
☐ Los bugs destrozan el juego
☐ Muchos bugs
☐ Algunos bugs
☑ 99% Funciona bien
☐ No tengo argumento
===[]===
Multiplayer: Si
Singleplayer: si"
